amfi_code,HHI,scheme_name,Concentration
100016,0.13953386,,Moderate
100033,0.14759225999999998,,Moderate
101206,0.12933173,,Moderate
101207,0.20070043,,High
102885,0.17470902,,Moderate
102886,0.11469284,,Moderate
102887,0.12980494999999997,,Moderate
118632,0.1682982,Nippon India Large Cap Fund - Regular - Growth,Moderate
118633,0.12146086,,Moderate
118634,0.10835772,,Moderate
118635,0.13594415,,Moderate
119092,0.20644766999999994,Axis Bluechip Fund - Regular - Growth,High
119093,0.13089424,,Moderate
119094,0.13640591000000002,,Moderate
119095,0.10960535000000002,,Moderate
119551,0.11871551999999999,SBI Bluechip Fund - Regular Plan - Growth,Moderate
119552,0.10801068999999998,,Moderate
119598,0.10734895,,Moderate
119599,0.17475095999999998,,Moderate
120503,0.14087026,ICICI Pru Bluechip Fund - Regular - Growth,Moderate
120504,0.10867415000000001,,Moderate
120505,0.15757036000000002,,Moderate
120506,0.1537936,,Moderate
120841,0.14968035000000002,Kotak Bluechip Fund - Regular - Growth,Moderate
120842,0.12743880999999999,,Moderate
120843,0.12868306000000002,,Moderate
125497,0.13658554,,Moderate
125498,0.15241398,,Moderate
148567,0.13858416999999998,,Moderate
148568,0.16792973,,Moderate
148569,0.14939642,,Moderate
149322,0.13439797,,Moderate
149323,0.14162096000000002,,Moderate
149324,0.11867710000000001,,Moderate
